record_id,td
17,90.09375
20,471.1875
55,65.0
59,51.28125
60,129.1875
69,89.59375
83,145.53125
84,440.59375
85,278.84375
89,602.53125
91,296.875
93,49.90625
95,140.03125
97,188.71875
110,374.625
111,113.9375
113,38.90625
116,83.21875
120,89.3125
123,276.09375
124,120.90625
126,384.625
127,137.40625
129,30.8125
130,53.0
134,63.3125
144,145.8125
145,248.6875
158,81.8125
161,153.8125
194,227.03125
204,58.5625
227,390.71875
228,51.8125
230,351.625
282,214.59375
300,870.0
311,243.21875
314,418.3125
338,228.5
346,215.59375
409,230.53125
421,47.71875
437,44.65625
449,83.34375
473,91.125
496,122.59375
500,56.0625
517,428.09375
563,74.34375
567,353.09375
575,227.6875
584,172.6875
629,166.84375
718,408.03125
741,58.5
760,254.53125
765,492.40625
772,181.21875
779,149.46875
786,401.4375
829,193.84375
878,263.28125
968,178.59375
984,93.46875
992,63.71875
994,107.0
998,78.21875
1010,275.28125
1032,182.40625
1037,172.75
1043,140.375
1060,608.6875
1112,477.625
1507,177.15625
1534,46.46875
1575,276.75
1579,220.3125
1658,79.59375
1663,246.1875
1673,181.96875
1688,142.34375
1739,172.46875
1753,211.875
1829,278.8125
1846,795.71875
